Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
134.0,Ricco Visser,South Africa,2132.0,496.0,208.0,256.0,173.0,68.0,56.0,29.0,46.0,288.0,63.0,83.0,152.0,67.0,100.0,16.0,7.0,24.0
135.0,Jay Kuria Muthari,Kenya,2149.0,78.0,189.0,552.0,215.0,68.0,56.0,69.0,48.0,63.0,69.0,249.0,13.0,325.0,107.0,16.0,7.0,25.0
136.0,Willie De Klerk,South Africa,2173.0,285.0,151.0,248.0,139.0,68.0,56.0,69.0,48.0,221.0,69.0,163.0,349.0,152.0,107.0,16.0,7.0,25.0
137.0,Wael Ben Ali,Tunisia,2183.0,208.0,232.0,155.0,215.0,68.0,56.0,54.0,48.0,128.0,69.0,249.0,261.0,325.0,67.0,16.0,7.0,25.0
138.0,Rhys Richardson,South Africa,2195.0,173.0,185.0,107.0,215.0,68.0,56.0,69.0,48.0,580.0,69.0,64.0,125.0,325.0,63.0,16.0,7.0,25.0
139.0,Mahmoud Ibrahim,Tunisia,2196.0,500.0,278.0,324.0,174.0,63.0,56.0,69.0,48.0,130.0,57.0,111.0,191.0,55.0,92.0,16.0,7.0,25.0
140.0,Jacques Andre Horne,South Africa,2204.0,429.0,254.0,259.0,177.0,68.0,56.0,69.0,48.0,195.0,48.0,249.0,92.0,117.0,95.0,16.0,7.0,25.0
141.0,Brayden Steenhoff,South Africa,2248.0,398.0,195.0,146.0,215.0,68.0,56.0,69.0,48.0,432.0,26.0,175.0,195.0,70.0,107.0,16.0,7.0,25.0
142.0,Benjamin Orthner,Ghana,2259.0,158.0,286.0,97.0,103.0,68.0,56.0,69.0,48.0,155.0,69.0,174.0,638.0,183.0,107.0,16.0,7.0,25.0
143.0,Atobatele Oreoluwapo David,Nigeria,2268.0,74.0,257.0,140.0,59.0,68.0,56.0,69.0,48.0,101.0,69.0,35.0,812.0,325.0,107.0,16.0,7.0,25.0
144.0,Ruben van Niekerk,South Africa,2278.0,546.0,240.0,170.0,215.0,68.0,56.0,69.0,48.0,218.0,69.0,149.0,196.0,107.0,79.0,16.0,7.0,25.0
145.0,Ken Chan Thim,Mauritius,2287.0,403.0,189.0,104.0,215.0,68.0,56.0,69.0,48.0,151.0,69.0,249.0,186.0,325.0,107.0,16.0,7.0,25.0
146.0,Mouhamed Islem Boukri,Algeria,2293.0,128.0,2.0,552.0,215.0,68.0,56.0,69.0,48.0,295.0,69.0,249.0,62.0,325.0,107.0,16.0,7.0,25.0
147.0,Ahmed Ghandoor,Egypt,2312.0,253.0,446.0,552.0,215.0,68.0,56.0,69.0,48.0,214.0,69.0,39.0,97.0,73.0,65.0,16.0,7.0,25.0
