Rank,name,Country,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf,333mbf
129.0,Francisco Alonso,Uruguay,4706.0,531.0,281.0,61.0,99.0,181.0,202.0,438.0,248.0,321.0,449.0,600.0,260.0,179.0,524.0,80.0,33.0,219.0
130.0,Walter Felix,Peru,4735.0,703.0,316.0,161.0,273.0,202.0,139.0,128.0,607.0,185.0,281.0,101.0,1006.0,13.0,288.0,80.0,33.0,219.0
131.0,Rafael Carreiro Campos,Brazil,4736.0,480.0,512.0,139.0,46.0,16.0,16.0,178.0,47.0,146.0,638.0,310.0,551.0,730.0,739.0,80.0,33.0,75.0
132.0,Key Yu Wan,Brazil,4755.0,23.0,6.0,406.0,139.0,103.0,114.0,293.0,223.0,272.0,642.0,1508.0,355.0,10.0,329.0,80.0,33.0,219.0
133.0,Diego Boasso Vera,Brazil,4796.0,150.0,336.0,51.0,108.0,101.0,120.0,607.0,358.0,123.0,727.0,355.0,452.0,159.0,817.0,80.0,33.0,219.0
134.0,Gustavo Dias Dullens,Brazil,4908.0,56.0,512.0,65.0,164.0,288.0,422.0,580.0,358.0,291.0,132.0,539.0,489.0,517.0,163.0,80.0,33.0,219.0
135.0,Pablo Nicolás Oshiro Mondoñedo,Peru,4934.0,316.0,186.0,407.0,745.0,613.0,532.0,468.0,61.0,385.0,176.0,202.0,48.0,236.0,227.0,80.0,33.0,219.0
136.0,Milko Sebastián Gutiérrez Arroyo,Paraguay,4945.0,295.0,359.0,367.0,146.0,152.0,177.0,556.0,190.0,290.0,481.0,314.0,572.0,137.0,577.0,80.0,33.0,219.0
137.0,Romina Peretti,Argentina,4953.0,257.0,1407.0,271.0,180.0,151.0,86.0,186.0,3.0,393.0,330.0,159.0,234.0,416.0,548.0,80.0,33.0,219.0
137.0,Juan Pablo Huanqui,Peru,4953.0,35.0,30.0,86.0,134.0,384.0,320.0,570.0,607.0,66.0,727.0,2.0,323.0,267.0,1070.0,80.0,33.0,219.0
139.0,Juan F. Wulff,Venezuela,4956.0,206.0,0.0,490.0,483.0,434.0,0.0,607.0,607.0,0.0,727.0,0.0,0.0,0.0,1070.0,80.0,33.0,219.0
140.0,Julián David Idárraga Restrepo,Colombia,4963.0,228.0,116.0,117.0,52.0,91.0,104.0,607.0,607.0,162.0,727.0,653.0,18.0,79.0,1070.0,80.0,33.0,219.0
141.0,Pedro Santos Guimarães,Brazil,4992.0,116.0,186.0,761.0,599.0,501.0,419.0,49.0,61.0,139.0,63.0,430.0,680.0,707.0,167.0,37.0,33.0,44.0
