Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
137.0,Arham Haider Wasi,946.0,190.0,171.0,105.0,46.0,18.0,13.0,2.0,173.0,5.0,36.0,67.0,90.0,30.0
139.0,Ashfaqul Hasan,949.0,145.0,197.0,105.0,46.0,18.0,13.0,2.0,158.0,5.0,36.0,106.0,88.0,30.0
140.0,Md Wasif Islam Chowdhury,951.0,277.0,116.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,18.0,96.0,30.0
141.0,Dewan Nazmun Nur,953.0,102.0,296.0,37.0,46.0,18.0,13.0,2.0,131.0,5.0,28.0,126.0,119.0,30.0
142.0,Tanvirul huque Saad,954.0,40.0,296.0,62.0,46.0,18.0,13.0,2.0,56.0,5.0,36.0,231.0,119.0,30.0
143.0,Arman Ferdous,955.0,25.0,296.0,105.0,46.0,18.0,13.0,2.0,29.0,5.0,36.0,231.0,119.0,30.0
144.0,Raiyanul Haque,957.0,158.0,149.0,59.0,46.0,18.0,13.0,2.0,91.0,5.0,36.0,231.0,119.0,30.0
145.0,Auntik Deepro Shameem Riddhi,959.0,292.0,84.0,105.0,46.0,18.0,13.0,2.0,185.0,5.0,36.0,62.0,81.0,30.0
146.0,Muntasirul Hoque,960.0,196.0,137.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,89.0,119.0,5.0
147.0,Atreyee Ahsan,964.0,259.0,108.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,34.0,119.0,30.0
148.0,Wasif Haider Khan,965.0,150.0,164.0,105.0,46.0,18.0,13.0,2.0,46.0,5.0,36.0,231.0,119.0,30.0
149.0,Mahin Muntakim,967.0,236.0,198.0,105.0,46.0,18.0,13.0,2.0,141.0,5.0,36.0,90.0,58.0,19.0
150.0,Ronon Abdullah,969.0,242.0,153.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,108.0,22.0,30.0
150.0,Nagib Hassan,969.0,201.0,199.0,105.0,46.0,18.0,13.0,2.0,133.0,5.0,17.0,81.0,119.0,30.0
152.0,Nahiyan Islam Khan,975.0,263.0,73.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,76.0,119.0,30.0
153.0,Deepro Diganto,980.0,87.0,195.0,43.0,24.0,10.0,9.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
154.0,Tanvir Himel,984.0,141.0,224.0,105.0,46.0,18.0,13.0,2.0,124.0,5.0,36.0,121.0,119.0,30.0
155.0,Tahzib Ibrahim Protik,990.0,148.0,135.0,88.0,46.0,18.0,13.0,2.0,169.0,5.0,36.0,181.0,119.0,30.0
156.0,Khandaker Raad Shahamat,1006.0,151.0,105.0,105.0,46.0,18.0,13.0,2.0,145.0,5.0,36.0,231.0,119.0,30.0
157.0,Ahnaf Tajwer Suchak,1009.0,138.0,159.0,83.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,171.0,119.0,30.0
158.0,Arash Zuhayr Udoy,1011.0,115.0,296.0,57.0,38.0,18.0,13.0,2.0,51.0,5.0,36.0,231.0,119.0,30.0
159.0,Adnan Afroze Ethmam,1014.0,119.0,203.0,105.0,46.0,18.0,13.0,2.0,87.0,5.0,36.0,231.0,119.0,30.0
160.0,Fahim Faisal Aurnob,1016.0,239.0,147.0,105.0,46.0,18.0,13.0,2.0,152.0,5.0,36.0,149.0,78.0,26.0
161.0,Tahmid Razeen Haque,1018.0,256.0,147.0,105.0,46.0,18.0,13.0,2.0,168.0,5.0,36.0,75.0,117.0,30.0
161.0,Md Tahsan Islam,1018.0,64.0,296.0,105.0,46.0,18.0,13.0,2.0,53.0,5.0,36.0,231.0,119.0,30.0
163.0,Mushfiq Bin Mahmud Khan,1020.0,179.0,78.0,74.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,231.0,119.0,30.0
164.0,Om Prokash Dibya,1024.0,159.0,146.0,105.0,46.0,18.0,13.0,2.0,189.0,5.0,36.0,156.0,119.0,30.0
165.0,Mirza Angon,1030.0,147.0,169.0,105.0,46.0,18.0,13.0,2.0,109.0,5.0,36.0,231.0,119.0,30.0
