Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
152.0,Gvantsa Makalatia,462.0,141.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
152.0,Luka Mosiashvili (ლუკა მოსიაშვილი),462.0,144.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,84.0,34.0,5.0
154.0,Giorgi Sopromidze,463.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,70.0,34.0,5.0
154.0,Nikoloz Shaveshiani (ნიკოლოზ შავეშიანი),463.0,142.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
156.0,Erekle Murgvashvili,467.0,153.0,102.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
156.0,Ilya Kudinov,467.0,146.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
158.0,Nikoloz Emukhvari,470.0,149.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
158.0,Davit Kiguradze (დავით კიღურაძე),470.0,154.0,104.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
160.0,Saba Japaridze,471.0,157.0,106.0,27.0,9.0,2.0,38.0,2.0,8.0,83.0,34.0,5.0
160.0,Davit Tsutskiridze,471.0,150.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
162.0,Gela Kirvalidze,472.0,151.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
163.0,Lado Tsibakhashvili (ლადო წიბახაშვილი),473.0,152.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
164.0,Beqa Dzeria,475.0,159.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,82.0,34.0,5.0
165.0,Tsotne Tabutsadze,476.0,155.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
166.0,Mariam Labadze (მარიამ ლაბაძე),477.0,156.0,109.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
167.0,Konstantine Kiguradze (კონსტანტინე კიღურაძე),478.0,158.0,108.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
