Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
172.0,Sharpen Maharjan,752.0,174.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,82.0,70.0,21.0
174.0,Sushil Khanal,753.0,183.0,123.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
174.0,Pranay Man Shakya,753.0,122.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
176.0,Arjun Prasad Koirala,754.0,123.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
177.0,Utsav Bhandari,757.0,126.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
178.0,Bishal Tamang,758.0,193.0,145.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,43.0,21.0
178.0,Rohan Bhattarai,758.0,127.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
180.0,Rahish Bajracharya,760.0,129.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
180.0,Ishan Poudel,760.0,216.0,97.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
182.0,Samyak Bajracharya,762.0,263.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,24.0,49.0,21.0
182.0,Sayuj Tuladhar,762.0,131.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
184.0,Rohan Joshi,766.0,154.0,184.0,62.0,21.0,7.0,4.0,8.0,73.0,9.0,18.0,135.0,70.0,21.0
184.0,Joon Shakya,766.0,162.0,184.0,35.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
186.0,Ankit Paudel,767.0,136.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
187.0,Bikash Niraula,772.0,141.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
188.0,Aadarsha Shahi,775.0,144.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
188.0,Abhaya Gautam,775.0,233.0,95.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
190.0,Kapil Majhi,778.0,147.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
191.0,Sonam Lama,779.0,148.0,184.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
192.0,Prashanna Wagle,780.0,175.0,158.0,62.0,21.0,7.0,4.0,8.0,92.0,9.0,18.0,135.0,70.0,21.0
