Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
125.0,Ernesto Sandoval Rivera,471.0,113.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
125.0,Walter Yafeth Sanchez Funez,471.0,136.0,82.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
127.0,Luis Carlos Galvez,472.0,114.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
128.0,Diego Salvador Pineda Hernandez,474.0,116.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
129.0,Gabriel Enoc Zambrano Mejia,475.0,117.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
130.0,Anner Jair Reyes Trochez,476.0,118.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
131.0,Jimmy Edward Gonzalez Duran,477.0,160.0,75.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,71.0,28.0,9.0
132.0,Angel Gabriel Hurtado Rodriguez,479.0,150.0,92.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,64.0,30.0,9.0
133.0,Claudio Gabriel Santos Escobar,481.0,123.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
134.0,Ariel Isac Ramírez Barahona,482.0,141.0,88.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
134.0,Luis Antonio Santos,482.0,145.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,56.0,33.0,9.0
134.0,Angel Samuel Zaldívar Umana,482.0,161.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,40.0,33.0,9.0
137.0,Cristian Jexciel Castro Muñoz,483.0,125.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
138.0,Junior Jafeth Sanchez Gamez,484.0,126.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
139.0,Olvin Rene Bueso Enamordo,486.0,128.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
140.0,Bryan Antonio Portillo Flores,487.0,129.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
140.0,Jaime Jafeth Perez Ramos,487.0,138.0,96.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
142.0,Donovan Isai Peña Morales,489.0,131.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
143.0,Erick Javier Sam,490.0,132.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
143.0,Edwin Edgardo Hernandez Benites,490.0,137.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,72.0,33.0,9.0
145.0,Fernando Alberto Flores Laínez,493.0,146.0,95.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,32.0,9.0
146.0,Kevin David Rodríguez Pavón,495.0,139.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,75.0,33.0,9.0
147.0,Hancel Ulises Perdomo Canales,498.0,140.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
147.0,Samuel Octavio Alvarez Ramos,498.0,148.0,97.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
149.0,Miguel Alejandro Mejia Davila,499.0,144.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,74.0,33.0,9.0
150.0,Edson Manuel Urbina Hernández,500.0,142.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
151.0,Mariah Fernanda Cubas Cálix,501.0,143.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
151.0,Xavier Eduardo Rivera Martinez,501.0,159.0,100.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,66.0,33.0,9.0
153.0,Diego Roberto Carias Hernandez,505.0,149.0,103.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
153.0,Yazid Vladimir Trejo,505.0,147.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
155.0,Gabriel Isaac,509.0,154.0,102.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
156.0,Jonatan Caled Meza Argeñal,510.0,152.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
157.0,Yoser Esau Chavez Lara,511.0,153.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
158.0,Cesar David Madrid Gomez,513.0,155.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
159.0,Gabriel Alberto Sorto Aguilar,514.0,156.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
160.0,Juan Diego Sandoval Ortiz,515.0,157.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
161.0,Rodil David Manzanares Izaguirre,516.0,158.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
162.0,Yeimi Noemi Sagastume,520.0,162.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
162.0,Gerardo Enrique Orellana Acosta,520.0,174.0,93.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
164.0,Jesus Alejandro Reyes Castro,521.0,174.0,94.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
164.0,Nahomy Gisselle Pacheco,521.0,163.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
166.0,Raul Arturo Gerezano Euceda,522.0,164.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
166.0,Harol Jafet Hernández Cáceres,522.0,174.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,67.0,33.0,9.0
168.0,Diego Alejandro Campos Garcia,523.0,165.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
169.0,Hector Yovani Medina,524.0,166.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
170.0,Jose Isrrael Perez Hernandez,525.0,167.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
171.0,Lot Esaú Rivera Velásquez,526.0,172.0,101.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
171.0,Sheyla Yamileth Bautista,526.0,168.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
173.0,Jostin Daniel Zúniga Mejía,527.0,169.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
174.0,Daniel Maximiliano Molina Juarez,528.0,170.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
175.0,Oscar Ruben Garcia Alberto,529.0,171.0,105.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
176.0,Ismael Mejia,530.0,173.0,104.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
