Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
133.0,Albert Aklunts,367.0,133.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
134.0,Sussanna Balakhchyan,368.0,134.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
134.0,Sofi Mkrtchian,368.0,137.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,52.0,19.0,7.0
136.0,Hayk Avetisyan,369.0,135.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
137.0,Mane Mkhitaryan,370.0,136.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
138.0,Yura Manukyan,372.0,138.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
139.0,Vahan Amiryan,373.0,148.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,46.0,19.0,7.0
139.0,Mesrop Ghazaryan,373.0,139.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
141.0,Gor Araqelyan,374.0,140.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
142.0,Serzh Aklunts,375.0,141.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
143.0,Tigran Grigoryan,376.0,142.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
144.0,Robert Manukyan,377.0,143.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
145.0,Narek Harutyunyan,378.0,144.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
146.0,Armen Maliants,379.0,145.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
147.0,Karine Galstyan (Карина Галстиян),380.0,146.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
148.0,Aren Karapetyan,381.0,148.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,10.0,55.0,19.0,7.0
148.0,Mara Mkrtchyan,381.0,147.0,60.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,55.0,19.0,7.0
